13 10041 50032
1 260 0.225176 -0.202036
0 261 0.177002 -0.191441
1 261 0.0517512 -0.201073
0 262 0.179893 -0.191441
1 262 0.0546416 -0.20011
0 263 0.186637 -0.191441
1 263 0.0613859 -0.20011
0 264 0.294546 -0.191441
1 264 0.172185 -0.201073
0 265 0.146171 -0.190478
1 265 0.0199567 -0.199147
0 266 0.148098 -0.190478
1 266 0.0201494 -0.199532
0 267 0.20687 -0.190478
1 267 0.0816188 -0.20011
0 268 0.2984 -0.190478
1 268 0.176039 -0.20011
0 269 0.121121 -0.189515
1 269 -0.00798394 -0.198183
0 270 0.179893 -0.189515
1 270 0.0536781 -0.198183
0 271 0.183747 -0.189515
1 271 0.0584955 -0.198183
0 266 0.148098 -0.188552
0 272 0.151952 -0.188552
1 272 0.0257375 -0.198183
0 273 0.190491 -0.188552
1 273 0.0652398 -0.19722
0 271 0.18182 -0.187588
0 274 0.297436 -0.186625
1 274 0.176039 -0.196257
0 275 0.356208 -0.186625
1 275 0.23192 -0.194331
0 276 0.146171 -0.185662
1 276 0.0189932 -0.194331
0 277 0.186637 -0.185662
1 277 0.0623494 -0.195294
0 278 0.118231 -0.184699
1 278 -0.0108743 -0.193368
0 279 0.193381 -0.184699
1 279 0.0681302 -0.194331
0 280 0.201089 -0.184699
1 280 0.0748745 -0.193368
0 281 0.148098 -0.183736
1 281 0.0228471 -0.193368
0 282 0.197235 -0.183736
1 282 0.0719841 -0.192404
0 283 0.274313 -0.183736
1 283 0.150025 -0.193368
0 284 0.2984 -0.183736
1 284 0.177002 -0.192404
0 285 0.356208 -0.183736
1 285 0.231727 -0.193753
0 286 0.165441 -0.182773
1 286 0.171108 -0.188584
0 287 0.219395 -0.182773
1 287 0.0941439 -0.192404
0 288 0.287801 -0.182773
1 288 0.165441 -0.192404
0 289 0.30129 -0.182773
1 289 0.179893 -0.192404
0 290 0.189527 -0.181809
1 290 0.0633128 -0.191441
0 291 0.223249 -0.181809
1 291 0.0970343 -0.191441
0 292 0.142317 -0.180846
1 292 0.0151393 -0.189515
0 286 0.164477 -0.180846
0 293 0.169295 -0.180846
1 293 0.04308 -0.189515
0 294 0.186637 -0.180846
